Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Prices
3585030,Motorboat,Yamaha,New,2012,35.61,9.3,Steel,Goa,326,3052101
4959549,Yacht,Bayliner,Used,2012,43.46,9.74,Wood,Goa,184,2745396
1510002,Sailboat,Bayliner,New,1995,44.12,3.34,Aluminum,Goa,348,2026029
1165528,Fishing Boat,Boston Whaler,New,1992,6.8,7.09,Steel,Chennai,172,4288149
4089507,Yacht,Bayliner,Used,2012,29.98,8.99,Aluminum,Visakhapatnam,357,551748
4952585,Yacht,Yamaha,New,2003,48.9,5.69,Aluminum,Mumbai,347,858350
3231053,Jet Ski,Jeanneau,Used,1994,47.59,8.26,Wood,Visakhapatnam,334,1702535
1796903,Fishing Boat,Beneteau,Used,1998,26.83,5.33,Aluminum,Visakhapatnam,382,1430143
2737557,Sailboat,Beneteau,New,2014,23.64,6.16,Wood,Chennai,364,1287258
1659651,Yacht,Beneteau,New,2012,41.38,8.35,Aluminum,Chennai,364,2848273
841149,Fishing Boat,Bayliner,Used,2021,6.79,2.45,Steel,Visakhapatnam,435,3364291
2754364,Motorboat,Yamaha,Used,2017,34.63,7.82,Wood,Mumbai,20,3408059
4775074,Jet Ski,Sea Ray,New,2019,10.06,5.5,Wood,Mumbai,422,2922336
3314422,Jet Ski,Beneteau,New,1993,20.55,6.68,Wood,Kochi,209,3054831
4643569,Jet Ski,Sea Ray,New,2016,45.09,9.6,Steel,Visakhapatnam,430,2799213
3139567,Sailboat,Beneteau,New,1995,18.95,9.83,Aluminum,Goa,398,1387527
3467794,Fishing Boat,Bayliner,New,2021,10.58,6.59,Aluminum,Chennai,196,4671461
4617090,Fishing Boat,Jeanneau,New,2017,47.91,7.78,Aluminum,Visakhapatnam,86,2707521
2295001,Fishing Boat,Beneteau,Used,1999,43.75,9.13,Fiberglass,Mumbai,243,3567365
2888055,Fishing Boat,Beneteau,Used,2021,32.23,4.17,Aluminum,Mumbai,22,3655421
353690,Yacht,Yamaha,New,1991,18.52,9.52,Steel,Mumbai,275,3178719
4165619,Motorboat,Jeanneau,New,1998,45.75,8.8,Steel,Kochi,328,2075301
1223245,Fishing Boat,Yamaha,New,2005,18.66,6.36,Steel,Kochi,434,1749692
2112458,Jet Ski,Sea Ray,Used,2005,16.4,2.07,Wood,Chennai,15,2050693
2801981,Motorboat,Bayliner,New,2004,46.47,9.05,Wood,Mumbai,335,1689819
2365607,Jet Ski,Bayliner,New,2009,26.74,4.67,Fiberglass,Kochi,192,4118851
2827910,Fishing Boat,Beneteau,New,1997,30.16,4.48,Fiberglass,Kochi,8,2633550
2857670,Yacht,Beneteau,Used,1995,39.96,7.67,Steel,Mumbai,370,2546869
66021,Fishing Boat,Jeanneau,Used,2007,16.6,5.31,Steel,Mumbai,179,54356
3593605,Yacht,Yamaha,Used,2000,12.88,6.34,Aluminum,Visakhapatnam,243,4086385
1223213,Jet Ski,Beneteau,New,2015,5.35,3.59,Steel,Kochi,296,888301
1018207,Fishing Boat,Bayliner,New,2011,46.11,6.82,Fiberglass,Goa,443,2126974
1086740,Fishing Boat,Yamaha,Used,2023,48.61,4.44,Fiberglass,Visakhapatnam,100,2546534
1250088,Sailboat,Beneteau,New,2011,9.89,6.0,Wood,Kochi,476,3411630
3601038,Sailboat,Beneteau,New,1992,28.48,6.0,Aluminum,Kochi,391,1081672
3687388,Motorboat,Yamaha,New,2001,48.75,4.47,Wood,Visakhapatnam,116,3468760
2675664,Jet Ski,Beneteau,New,2002,10.33,2.38,Aluminum,Chennai,87,3469137
154829,Sailboat,Beneteau,Used,2009,39.08,2.8,Aluminum,Goa,451,535765
1479279,Sailboat,Sea Ray,New,2007,36.22,7.82,Fiberglass,Chennai,81,4472992
2218979,Yacht,Yamaha,Used,1990,16.1,2.77,Steel,Goa,337,369591
3433959,Jet Ski,Sea Ray,New,1998,25.08,2.36,Steel,Goa,388,1073326
1291235,Yacht,Jeanneau,Used,1999,27.07,9.77,Aluminum,Mumbai,33,4573234
4295045,Fishing Boat,Jeanneau,New,2013,36.53,2.11,Fiberglass,Chennai,483,4977369
1811309,Motorboat,Yamaha,New,2003,15.74,9.42,Fiberglass,Kochi,427,968868
2635138,Sailboat,Beneteau,New,2013,34.5,4.14,Wood,Kochi,296,2607020
881015,Jet Ski,Beneteau,New,1998,6.53,4.05,Fiberglass,Chennai,297,3898507
1964730,Jet Ski,Sea Ray,New,2015,24.0,6.5,Steel,Kochi,492,3713117
1613632,Fishing Boat,Yamaha,Used,2020,11.18,2.3,Wood,Kochi,192,2983987
3334329,Motorboat,Sea Ray,Used,2018,47.53,5.34,Wood,Kochi,446,4549557
2121820,Sailboat,Jeanneau,Used,2012,25.56,7.43,Aluminum,Chennai,175,2378552
3978933,Yacht,Jeanneau,New,1998,43.94,2.45,Wood,Goa,97,4950848
3183337,Fishing Boat,Jeanneau,Used,1995,22.62,6.07,Wood,Goa,459,1447113
961454,Fishing Boat,Bayliner,Used,1996,26.22,3.54,Wood,Mumbai,394,2017829
4190066,Sailboat,Boston Whaler,New,2003,25.08,3.56,Steel,Kochi,80,2390449
4874755,Yacht,Jeanneau,Used,2021,10.48,7.71,Fiberglass,Visakhapatnam,445,478424
4517994,Yacht,Jeanneau,New,2006,10.31,4.47,Aluminum,Goa,100,4929877
1313127,Sailboat,Jeanneau,Used,1991,29.96,9.93,Steel,Mumbai,215,2968426
1390781,Sailboat,Beneteau,New,2021,35.59,7.63,Wood,Goa,276,1483057
573887,Yacht,Beneteau,New,1993,29.61,6.56,Steel,Goa,132,132924
2775298,Jet Ski,Bayliner,Used,1991,41.28,5.13,Steel,Visakhapatnam,353,526507
2311193,Yacht,Beneteau,New,2000,6.59,8.99,Fiberglass,Mumbai,419,3284482
3348325,Motorboat,Sea Ray,New,2014,38.35,5.7,Fiberglass,Chennai,158,1476120
3290846,Fishing Boat,Sea Ray,Used,2021,34.99,6.71,Wood,Kochi,46,2070275
4206696,Sailboat,Bayliner,Used,2022,28.78,4.28,Steel,Mumbai,453,1776023
1764152,Yacht,Sea Ray,Used,1999,25.63,8.19,Aluminum,Mumbai,377,4263526
2356517,Motorboat,Yamaha,Used,2018,26.39,2.8,Wood,Chennai,76,513143
2006162,Fishing Boat,Beneteau,Used,2009,19.9,3.69,Steel,Visakhapatnam,111,2161157
4893697,Yacht,Sea Ray,New,1991,14.03,3.21,Steel,Mumbai,420,3821748
4183033,Motorboat,Boston Whaler,Used,2007,26.62,5.21,Aluminum,Kochi,314,4167568
2125434,Sailboat,Boston Whaler,New,2017,45.17,7.04,Aluminum,Mumbai,58,2964814
3612852,Jet Ski,Beneteau,Used,1990,18.43,8.88,Aluminum,Visakhapatnam,249,2286094
4679039,Yacht,Sea Ray,New,2004,38.31,4.24,Wood,Kochi,83,817719
3520502,Fishing Boat,Beneteau,Used,2024,34.75,5.28,Fiberglass,Chennai,464,3938980
1516207,Fishing Boat,Beneteau,New,1999,27.51,8.22,Wood,Visakhapatnam,125,311008
1463846,Fishing Boat,Jeanneau,Used,2001,28.08,4.93,Steel,Visakhapatnam,146,4748859
2876030,Motorboat,Beneteau,New,1993,40.38,6.26,Fiberglass,Goa,218,4508560
602109,Yacht,Boston Whaler,Used,2019,37.95,2.54,Wood,Chennai,348,3714089
3599577,Fishing Boat,Yamaha,New,2010,23.73,3.68,Wood,Mumbai,383,1503147
3744447,Fishing Boat,Beneteau,Used,2010,45.72,3.04,Aluminum,Visakhapatnam,393,576087
4197232,Fishing Boat,Boston Whaler,Used,2001,22.15,5.18,Aluminum,Kochi,461,4474612
3324951,Fishing Boat,Boston Whaler,New,2020,36.84,9.73,Fiberglass,Mumbai,338,2687854
2385437,Fishing Boat,Beneteau,Used,2016,8.15,6.1,Aluminum,Kochi,40,2926429
3849394,Yacht,Yamaha,Used,2020,13.94,2.64,Fiberglass,Mumbai,373,629848
3582253,Motorboat,Yamaha,Used,1999,40.01,4.51,Fiberglass,Chennai,109,3506410
1155674,Jet Ski,Beneteau,New,2020,5.12,3.0,Fiberglass,Mumbai,95,4077516
417476,Yacht,Yamaha,New,2007,48.73,2.33,Wood,Goa,364,4348285
4056043,Yacht,Bayliner,Used,2007,20.89,2.52,Steel,Mumbai,489,1231088
2532306,Fishing Boat,Sea Ray,Used,2024,25.13,2.4,Wood,Goa,211,2203489
4842933,Motorboat,Sea Ray,New,1990,49.66,6.37,Wood,Visakhapatnam,333,2173779
3672076,Jet Ski,Sea Ray,Used,1995,20.43,5.3,Aluminum,Chennai,216,3791953
940153,Motorboat,Sea Ray,New,2015,23.8,4.69,Aluminum,Goa,154,3276931
681028,Sailboat,Boston Whaler,Used,2011,12.4,5.93,Fiberglass,Visakhapatnam,130,2512544
1422134,Jet Ski,Jeanneau,Used,1999,27.4,4.64,Fiberglass,Kochi,235,1998081
189555,Sailboat,Sea Ray,Used,2007,32.91,8.19,Fiberglass,Chennai,489,2054626
2813382,Jet Ski,Yamaha,New,2001,49.7,4.17,Steel,Visakhapatnam,17,2688296
4163762,Yacht,Beneteau,Used,2018,26.26,5.09,Steel,Kochi,332,1620155
2024728,Jet Ski,Yamaha,Used,2022,47.48,2.55,Wood,Visakhapatnam,460,2354795
816042,Sailboat,Boston Whaler,Used,2004,23.55,2.57,Aluminum,Mumbai,347,4027957
1994636,Fishing Boat,Bayliner,New,2015,19.89,4.1,Fiberglass,Kochi,124,2046269
1700618,Motorboat,Beneteau,New,1995,33.23,5.39,Fiberglass,Goa,195,3720099
609086,Jet Ski,Sea Ray,New,1999,41.67,7.09,Wood,Visakhapatnam,495,3965497
2984219,Motorboat,Boston Whaler,New,2014,6.56,8.93,Wood,Mumbai,300,4308399
3139287,Jet Ski,Sea Ray,New,1998,46.77,6.02,Steel,Goa,97,3324177
1720606,Motorboat,Beneteau,New,1993,32.87,7.88,Fiberglass,Visakhapatnam,454,3207309
2890723,Sailboat,Sea Ray,Used,2024,22.12,6.19,Fiberglass,Chennai,198,3690711
3503534,Fishing Boat,Bayliner,Used,2021,28.82,7.13,Fiberglass,Chennai,170,2156236
1561721,Motorboat,Yamaha,Used,1993,33.14,5.59,Fiberglass,Chennai,234,999750
360531,Fishing Boat,Boston Whaler,Used,2018,31.75,2.43,Aluminum,Visakhapatnam,350,2835312
418365,Yacht,Beneteau,Used,2021,9.86,5.13,Steel,Mumbai,6,4209025
1873114,Yacht,Jeanneau,Used,1995,13.52,5.62,Steel,Chennai,322,1540629
394287,Yacht,Bayliner,New,2008,49.02,4.68,Aluminum,Chennai,486,4754748
347687,Motorboat,Jeanneau,New,2000,23.81,3.74,Wood,Mumbai,54,52856
3463215,Fishing Boat,Beneteau,New,2003,17.74,6.03,Fiberglass,Kochi,126,4588397
4494589,Yacht,Jeanneau,Used,1996,21.1,7.71,Wood,Chennai,82,1466398
2570966,Motorboat,Boston Whaler,Used,1992,13.88,2.08,Fiberglass,Visakhapatnam,393,4708243
440132,Motorboat,Boston Whaler,Used,2016,5.41,4.49,Aluminum,Visakhapatnam,286,2219956
1435036,Jet Ski,Jeanneau,New,1992,37.93,5.11,Fiberglass,Kochi,248,194191
2269409,Fishing Boat,Yamaha,Used,2019,21.04,3.38,Fiberglass,Mumbai,410,1445776
1614594,Motorboat,Yamaha,Used,1992,11.01,3.89,Fiberglass,Kochi,452,4034499
453723,Motorboat,Jeanneau,Used,2006,17.81,4.09,Aluminum,Mumbai,203,342565
3243172,Yacht,Boston Whaler,Used,2022,43.17,2.12,Wood,Visakhapatnam,306,4142044
1537492,Fishing Boat,Sea Ray,New,1997,33.49,6.37,Fiberglass,Mumbai,99,902250
3102480,Fishing Boat,Beneteau,New,1997,47.29,8.9,Fiberglass,Goa,445,306142
2230783,Motorboat,Sea Ray,New,2023,35.07,6.33,Fiberglass,Chennai,364,281816
3495162,Jet Ski,Yamaha,Used,2003,35.66,5.07,Aluminum,Chennai,49,668427
4981590,Motorboat,Boston Whaler,Used,2004,10.73,5.22,Fiberglass,Goa,144,2233269
3388788,Fishing Boat,Bayliner,Used,2011,43.55,8.13,Steel,Goa,100,2803112
3709372,Motorboat,Yamaha,Used,1991,29.52,9.57,Fiberglass,Kochi,386,3712561
4040944,Yacht,Yamaha,New,1995,18.66,5.95,Wood,Goa,12,2334405
2700609,Motorboat,Beneteau,New,2017,18.67,2.34,Fiberglass,Kochi,291,89853
185889,Jet Ski,Yamaha,Used,2002,19.77,3.84,Wood,Chennai,293,2807488
3911813,Yacht,Yamaha,New,2018,34.3,6.35,Aluminum,Goa,222,3348856
619408,Motorboat,Yamaha,New,1992,17.3,5.99,Wood,Mumbai,5,4363649
4860957,Sailboat,Boston Whaler,New,1997,44.48,6.58,Steel,Goa,351,3481493
2288124,Motorboat,Jeanneau,Used,2017,39.77,5.21,Steel,Chennai,46,4628879
995601,Motorboat,Bayliner,New,2014,9.99,4.13,Wood,Mumbai,126,3487906
150136,Fishing Boat,Jeanneau,Used,1997,13.47,6.74,Steel,Goa,291,4527069
3641676,Sailboat,Sea Ray,New,2010,45.91,3.36,Steel,Visakhapatnam,70,2531256
1696637,Sailboat,Bayliner,New,2006,27.62,6.98,Fiberglass,Chennai,422,4135079
1526534,Fishing Boat,Beneteau,Used,1994,48.14,4.46,Wood,Kochi,412,1876722
2946307,Motorboat,Sea Ray,Used,2016,41.55,4.79,Aluminum,Kochi,159,2249739
1154517,Jet Ski,Sea Ray,New,2002,46.76,8.93,Wood,Mumbai,478,4124302
546477,Sailboat,Bayliner,New,1995,34.58,7.45,Wood,Mumbai,483,2344557
4740202,Yacht,Bayliner,New,2002,45.4,4.72,Steel,Mumbai,289,4890287
4142767,Motorboat,Boston Whaler,New,2024,23.66,7.37,Aluminum,Mumbai,187,1301847
3149028,Jet Ski,Jeanneau,New,2020,23.29,3.8,Fiberglass,Kochi,105,3455174
1441308,Motorboat,Yamaha,Used,1998,17.19,9.59,Fiberglass,Visakhapatnam,339,355963
4601233,Jet Ski,Sea Ray,New,1997,39.11,3.28,Steel,Mumbai,263,1457364
2726940,Yacht,Beneteau,Used,2003,29.8,4.47,Steel,Chennai,17,3301754
1722563,Fishing Boat,Bayliner,New,2010,13.81,8.79,Wood,Goa,311,3779981
772326,Jet Ski,Boston Whaler,Used,1995,47.13,2.53,Fiberglass,Kochi,263,1762843
2461797,Jet Ski,Beneteau,Used,2014,44.44,3.82,Fiberglass,Kochi,394,689605
631965,Yacht,Bayliner,Used,2020,21.66,9.39,Wood,Visakhapatnam,382,81745
4478511,Yacht,Beneteau,Used,2013,22.21,8.38,Wood,Goa,475,1900504
4574734,Sailboat,Sea Ray,Used,2023,38.47,5.75,Steel,Chennai,98,487897
1029224,Jet Ski,Bayliner,New,1990,28.17,6.01,Fiberglass,Mumbai,310,4961493
2376777,Jet Ski,Beneteau,New,2009,13.1,3.81,Steel,Kochi,32,1118751
1864432,Fishing Boat,Sea Ray,Used,2007,11.07,9.24,Aluminum,Kochi,221,1718050
422374,Yacht,Yamaha,New,1996,37.02,3.02,Steel,Chennai,202,3555549
1570389,Yacht,Sea Ray,New,2007,22.77,9.41,Wood,Mumbai,327,3731136
742875,Yacht,Bayliner,New,2010,26.95,2.57,Fiberglass,Goa,202,1173664
2554543,Yacht,Boston Whaler,New,2006,16.97,9.52,Wood,Kochi,452,3753474
4661619,Motorboat,Bayliner,Used,1990,38.65,6.01,Steel,Mumbai,67,3348787
746611,Jet Ski,Jeanneau,Used,1994,8.0,4.67,Aluminum,Kochi,55,3979997
3578077,Sailboat,Bayliner,Used,1999,35.54,3.13,Fiberglass,Chennai,195,3565535
3343732,Jet Ski,Boston Whaler,New,2007,12.34,9.2,Fiberglass,Goa,158,4769970
3061464,Jet Ski,Jeanneau,Used,1996,38.93,7.89,Steel,Visakhapatnam,296,4534467
1492050,Yacht,Yamaha,Used,1998,47.4,5.71,Aluminum,Goa,445,3129006
2570116,Fishing Boat,Jeanneau,New,2007,14.88,7.86,Steel,Kochi,408,1040322
2236781,Fishing Boat,Jeanneau,New,2012,23.12,6.92,Wood,Mumbai,100,1525719
1653839,Motorboat,Beneteau,New,1998,27.68,6.66,Aluminum,Goa,222,1360142
1566248,Jet Ski,Boston Whaler,Used,2020,40.15,4.41,Fiberglass,Kochi,348,4000205
1416736,Jet Ski,Bayliner,Used,2019,39.95,6.55,Fiberglass,Goa,140,1687208
1337236,Motorboat,Sea Ray,Used,2016,6.91,9.52,Fiberglass,Visakhapatnam,368,1724369
2173979,Motorboat,Yamaha,New,2010,31.88,4.02,Steel,Visakhapatnam,45,1897463
472348,Yacht,Bayliner,New,1993,7.82,4.39,Aluminum,Kochi,170,3263170
3112067,Fishing Boat,Sea Ray,Used,2009,14.92,2.5,Steel,Visakhapatnam,14,781700
1976550,Fishing Boat,Jeanneau,New,2021,33.56,8.77,Steel,Kochi,170,3229997
3027820,Yacht,Sea Ray,New,1991,39.18,2.56,Aluminum,Mumbai,344,1758381
1571534,Fishing Boat,Beneteau,New,1993,33.57,2.45,Aluminum,Chennai,353,1093032
1609047,Jet Ski,Sea Ray,Used,2024,10.94,8.7,Fiberglass,Kochi,103,956017
4755489,Yacht,Beneteau,New,1991,22.66,5.99,Steel,Mumbai,414,327965
1815325,Yacht,Beneteau,Used,2004,40.04,8.13,Aluminum,Mumbai,129,3294812
2550948,Jet Ski,Boston Whaler,New,2019,19.3,4.12,Wood,Chennai,115,1057132
4444885,Yacht,Beneteau,New,2019,38.41,2.72,Steel,Visakhapatnam,94,2513106
3428311,Sailboat,Jeanneau,New,2019,37.55,7.54,Steel,Goa,130,816359
2563281,Sailboat,Beneteau,New,1998,44.96,9.37,Wood,Chennai,360,3405583
4288391,Fishing Boat,Bayliner,New,2019,28.56,9.34,Wood,Chennai,196,1210615
67001,Fishing Boat,Beneteau,New,1995,33.19,9.24,Aluminum,Kochi,61,3976484
4278393,Sailboat,Boston Whaler,Used,2007,16.93,3.93,Fiberglass,Kochi,87,4064844
1000510,Jet Ski,Bayliner,New,2002,39.92,8.79,Fiberglass,Mumbai,276,4098586
2818700,Fishing Boat,Beneteau,Used,2002,37.48,2.53,Fiberglass,Chennai,489,763476
2673518,Motorboat,Boston Whaler,Used,1991,34.37,4.33,Fiberglass,Goa,164,1937342
3873134,Jet Ski,Jeanneau,New,2013,35.12,5.61,Aluminum,Chennai,346,531312
635349,Motorboat,Yamaha,Used,2013,40.07,6.11,Aluminum,Goa,354,3637367
1292566,Jet Ski,Yamaha,New,1990,21.79,2.04,Fiberglass,Chennai,391,2593117
4949627,Fishing Boat,Beneteau,New,1997,18.58,3.42,Aluminum,Goa,243,4269672
4662419,Fishing Boat,Beneteau,New,2023,36.49,8.94,Wood,Chennai,496,1560377
2618658,Yacht,Beneteau,New,1990,43.57,2.47,Steel,Mumbai,492,3890955
4694665,Fishing Boat,Jeanneau,Used,2007,49.74,2.4,Fiberglass,Goa,252,812897
4264803,Sailboat,Beneteau,Used,2022,32.23,8.4,Wood,Visakhapatnam,249,1152891
669134,Yacht,Boston Whaler,Used,1998,30.5,3.63,Steel,Goa,328,651749
3789953,Jet Ski,Beneteau,Used,2012,39.05,3.25,Aluminum,Goa,65,3494953
2901899,Fishing Boat,Jeanneau,Used,2021,38.08,6.74,Wood,Goa,218,1257920
198245,Motorboat,Jeanneau,New,2015,24.02,3.05,Wood,Visakhapatnam,242,349823
479274,Jet Ski,Beneteau,New,1996,28.85,5.49,Aluminum,Chennai,105,4909812
3069233,Fishing Boat,Bayliner,Used,2012,34.28,4.13,Fiberglass,Mumbai,229,2333593
4229150,Sailboat,Beneteau,Used,2000,14.53,3.76,Steel,Chennai,291,2017505
4336432,Jet Ski,Bayliner,New,2020,39.27,9.9,Steel,Mumbai,319,3759876
998074,Sailboat,Sea Ray,New,2017,23.73,2.57,Wood,Chennai,274,4865172
4116571,Sailboat,Bayliner,New,1998,17.08,7.8,Fiberglass,Goa,27,674268
3609641,Yacht,Jeanneau,New,2014,35.47,7.85,Aluminum,Visakhapatnam,440,2384907
1154713,Motorboat,Sea Ray,Used,1994,11.48,2.09,Fiberglass,Goa,61,246220
501541,Jet Ski,Bayliner,New,1995,9.6,7.54,Fiberglass,Chennai,400,1941225
2596235,Jet Ski,Sea Ray,New,2018,42.04,8.07,Wood,Kochi,151,3354963
3819877,Fishing Boat,Yamaha,New,2016,15.76,9.26,Steel,Goa,352,2275874
3719329,Jet Ski,Boston Whaler,Used,1991,28.09,8.27,Wood,Goa,282,2377662
4381406,Yacht,Beneteau,New,1991,19.95,4.02,Wood,Chennai,445,2738525
3445017,Sailboat,Boston Whaler,Used,1999,47.43,7.67,Fiberglass,Kochi,311,3959532
1044803,Motorboat,Beneteau,New,2008,7.61,3.62,Aluminum,Visakhapatnam,77,3954437
1189304,Yacht,Sea Ray,Used,1997,40.02,4.18,Steel,Goa,337,876956
1712121,Yacht,Beneteau,New,1998,5.89,5.12,Wood,Mumbai,8,4674374
446667,Jet Ski,Sea Ray,New,2015,17.98,9.18,Fiberglass,Goa,281,1788349
2103973,Jet Ski,Jeanneau,New,2005,10.34,5.59,Wood,Visakhapatnam,324,4889557
294389,Sailboat,Jeanneau,Used,1990,14.33,5.56,Wood,Kochi,377,2668396
3511475,Sailboat,Sea Ray,New,1995,46.68,8.52,Steel,Visakhapatnam,82,4538666
4197773,Fishing Boat,Yamaha,New,1998,38.42,4.22,Steel,Kochi,362,557087
2409071,Jet Ski,Jeanneau,Used,2013,22.93,7.55,Steel,Goa,436,1692598
2291947,Sailboat,Bayliner,New,1992,43.28,4.57,Steel,Goa,257,2816088
4975989,Sailboat,Boston Whaler,New,2023,42.68,7.71,Wood,Goa,331,3799722
2551379,Motorboat,Yamaha,Used,1991,35.58,6.63,Wood,Kochi,392,3496189
2930647,Motorboat,Yamaha,Used,2002,18.12,4.35,Aluminum,Chennai,399,1256449
3171812,Motorboat,Bayliner,New,1999,25.43,8.77,Fiberglass,Visakhapatnam,294,2106336
1942711,Jet Ski,Beneteau,Used,2004,46.82,8.19,Fiberglass,Chennai,213,2673252
1708183,Yacht,Sea Ray,Used,2013,36.28,8.4,Steel,Mumbai,361,231034
3289275,Jet Ski,Sea Ray,New,2008,44.36,7.36,Aluminum,Kochi,448,330244
63128,Jet Ski,Bayliner,Used,2000,35.92,5.43,Wood,Goa,297,1993589
3752973,Jet Ski,Jeanneau,Used,1990,26.1,7.1,Steel,Kochi,290,1067624
4942214,Sailboat,Bayliner,Used,2024,31.53,4.47,Steel,Goa,85,1591547
2786375,Sailboat,Bayliner,New,2003,45.81,6.61,Wood,Kochi,213,3301599
92666,Yacht,Boston Whaler,Used,1995,47.96,2.25,Aluminum,Goa,272,1931248
736145,Motorboat,Beneteau,Used,1993,25.62,3.39,Wood,Chennai,8,197212
921051,Fishing Boat,Beneteau,Used,2010,15.45,9.2,Aluminum,Mumbai,244,3588335
210001,Yacht,Jeanneau,New,1999,35.4,7.53,Steel,Goa,475,1321443
2742796,Fishing Boat,Beneteau,Used,1996,27.74,6.26,Steel,Kochi,488,4592731
1832179,Sailboat,Boston Whaler,New,1991,40.08,7.17,Steel,Visakhapatnam,9,2871801
1526364,Sailboat,Boston Whaler,New,2019,36.51,8.84,Aluminum,Mumbai,9,1477059
3055021,Jet Ski,Bayliner,Used,1999,24.51,5.62,Steel,Mumbai,65,4009410
471672,Fishing Boat,Jeanneau,Used,2017,38.57,8.51,Steel,Mumbai,314,935959
1889104,Sailboat,Beneteau,New,1999,8.23,3.89,Steel,Visakhapatnam,82,440976
331591,Jet Ski,Sea Ray,Used,2014,5.98,4.03,Aluminum,Mumbai,15,4938719
3894805,Fishing Boat,Bayliner,New,2001,40.93,7.86,Aluminum,Mumbai,490,1835489
3387912,Fishing Boat,Yamaha,Used,1991,30.32,9.76,Steel,Visakhapatnam,246,3266338
446405,Yacht,Jeanneau,New,2013,34.85,3.75,Steel,Kochi,300,4837786
912112,Yacht,Beneteau,New,2002,32.97,8.02,Fiberglass,Kochi,478,1861595
1845421,Jet Ski,Sea Ray,New,2022,12.5,7.37,Wood,Visakhapatnam,487,3270474
4022477,Sailboat,Yamaha,New,2018,34.28,6.65,Fiberglass,Mumbai,415,4769009
1475253,Sailboat,Sea Ray,New,2023,12.26,6.66,Steel,Mumbai,153,4845394
2710045,Yacht,Yamaha,New,2012,32.02,8.85,Aluminum,Chennai,124,4968517
4932090,Motorboat,Boston Whaler,Used,2020,7.22,4.64,Wood,Mumbai,258,4916323
3186870,Yacht,Beneteau,Used,1992,49.66,6.83,Aluminum,Chennai,321,905018
4104574,Motorboat,Boston Whaler,Used,2005,20.69,7.02,Aluminum,Visakhapatnam,408,3012699
461234,Yacht,Bayliner,Used,2015,18.13,2.14,Fiberglass,Visakhapatnam,463,4404371
98055,Fishing Boat,Jeanneau,Used,1993,36.2,9.26,Fiberglass,Visakhapatnam,380,2907182
2612722,Fishing Boat,Sea Ray,Used,2013,45.91,7.66,Fiberglass,Chennai,20,785573
566197,Yacht,Sea Ray,Used,2021,43.93,2.7,Fiberglass,Kochi,46,2054624
4620524,Jet Ski,Yamaha,Used,2023,25.04,2.23,Wood,Kochi,237,4686800
2537039,Yacht,Yamaha,Used,2015,35.77,2.08,Fiberglass,Goa,441,3368364
4928298,Motorboat,Yamaha,New,2023,32.37,4.84,Wood,Mumbai,311,3925820
